,Department,Gender,City,Salary
294,Finance,Female,Mumbai,20759
31,Marketing,Female,Ahmedabad,22105
43,Purchase,Male,Surat,23311
227,IT,Female,Ahmedabad,23745
71,Sales,Female,Ahmedabad,24047
281,IT,Female,Baroda,24193
244,IT,Female,Mumbai,24499
23,Purchase,Female,Baroda,24551
88,HR,Male,Baroda,24582
207,HR,Male,Surat,24805
89,IT,Male,Surat,25180
214,Finance,Male,Surat,25269
16,Sales,Male,Mumbai,25567
138,Marketing,Male,Surat,25808
132,Purchase,Male,Mumbai,25962
288,Sales,Female,Chhenai,26052
36,Marketing,Female,Surat,26435
177,IT,Female,Mumbai,26716
205,Purchase,Female,Surat,26803
252,Finance,Male,Chhenai,27781
105,Sales,Male,Baroda,28404
193,IT,Female,Surat,28477
293,HR,Male,Mumbai,28488
25,HR,Male,Surat,28744
60,HR,Male,Ahmedabad,28872
165,HR,Male,Chhenai,28878
119,Purchase,Female,Baroda,28904
67,HR,Male,Surat,29029
75,IT,Female,Ahmedabad,29077
154,HR,Female,Baroda,29903
95,Sales,Female,Baroda,30426
144,HR,Male,Baroda,30476
222,Marketing,Male,Ahmedabad,30792
275,Marketing,Male,Chhenai,31170
211,Purchase,Male,Ahmedabad,31220
127,Finance,Male,Chhenai,32073
183,Purchase,Female,Chhenai,32264
13,IT,Male,Chhenai,32303
173,Sales,Female,Chhenai,32544
90,Purchase,Male,Surat,32686
195,Purchase,Female,Surat,32912
80,Marketing,Male,Surat,32973
124,IT,Female,Baroda,33230
246,Finance,Male,Surat,34234
249,Finance,Female,Surat,34417
185,IT,Male,Chhenai,34815
5,IT,Male,Surat,35005
10,Sales,Male,Baroda,35060
69,IT,Female,Surat,35569
3,Sales,Male,Mumbai,35619
93,Purchase,Female,Baroda,35666
289,IT,Female,Ahmedabad,35912
284,IT,Female,Chhenai,36515
11,Finance,Male,Baroda,36901
223,HR,Male,Mumbai,37255
277,Sales,Female,Mumbai,37389
41,HR,Male,Chhenai,37391
178,Marketing,Male,Surat,37439
267,Sales,Male,Chhenai,37491
292,Sales,Female,Chhenai,37576
68,HR,Female,Baroda,37806
295,Finance,Male,Baroda,37826
78,Marketing,Female,Baroda,37911
273,Purchase,Male,Baroda,37913
145,IT,Female,Baroda,38299
58,Sales,Male,Baroda,38330
261,Finance,Female,Chhenai,38594
130,HR,Female,Ahmedabad,38698
167,Purchase,Male,Surat,38923
266,HR,Male,Mumbai,39253
166,HR,Male,Mumbai,39494
163,HR,Male,Chhenai,39715
259,HR,Male,Baroda,40862
113,IT,Male,Chhenai,40976
18,Marketing,Male,Mumbai,41299
15,Purchase,Female,Baroda,41867
35,Marketing,Female,Baroda,42739
265,Purchase,Female,Mumbai,43169
125,IT,Male,Mumbai,43386
22,HR,Male,Baroda,43535
87,HR,Male,Ahmedabad,43650
57,HR,Female,Chhenai,43885
114,Marketing,Female,Chhenai,43915
157,Purchase,Male,Surat,44151
33,IT,Female,Mumbai,44169
34,Purchase,Female,Surat,44231
278,IT,Male,Surat,44337
290,Sales,Female,Chhenai,44607
50,IT,Female,Chhenai,45048
220,IT,Female,Ahmedabad,45518
274,Marketing,Male,Chhenai,45595
133,Purchase,Female,Surat,45598
104,Sales,Male,Surat,45619
141,IT,Female,Surat,45726
120,Finance,Female,Surat,46055
1,HR,Male,Baroda,46102
94,Marketing,Female,Baroda,46134
6,Marketing,Male,Chhenai,46445
137,Purchase,Male,Chhenai,47060
271,Sales,Female,Surat,47278
234,Purchase,Female,Chhenai,47742
237,Finance,Male,Ahmedabad,47763
162,HR,Male,Ahmedabad,48001
239,Purchase,Male,Chhenai,48003
251,Sales,Male,Ahmedabad,48256
126,Sales,Female,Ahmedabad,48588
51,IT,Male,Ahmedabad,49143
224,Sales,Male,Ahmedabad,49223
64,Marketing,Female,Baroda,49233
171,HR,Female,Baroda,49582
156,HR,Male,Surat,49639
52,Purchase,Male,Mumbai,49645
66,Sales,Female,Ahmedabad,50763
142,IT,Female,Mumbai,50847
282,Finance,Male,Surat,51153
115,Sales,Female,Surat,51255
151,Sales,Male,Ahmedabad,51257
213,Purchase,Female,Baroda,52191
73,Purchase,Male,Surat,52426
253,Purchase,Female,Ahmedabad,53485
92,Purchase,Male,Ahmedabad,53571
108,Marketing,Male,Ahmedabad,53842
62,Marketing,Female,Ahmedabad,53885
196,HR,Female,Baroda,54143
19,HR,Male,Baroda,54452
131,Purchase,Male,Baroda,54790
135,Finance,Male,Chhenai,55661
99,IT,Male,Chhenai,55717
192,Sales,Male,Baroda,55782
194,IT,Male,Ahmedabad,55833
187,Purchase,Female,Chhenai,56005
200,HR,Male,Mumbai,56298
74,IT,Male,Ahmedabad,56412
233,Finance,Female,Baroda,56420
40,HR,Female,Ahmedabad,56566
63,Purchase,Male,Chhenai,56645
181,Sales,Female,Chhenai,56843
8,Marketing,Female,Surat,57049
54,Marketing,Female,Baroda,57527
158,Purchase,Female,Chhenai,57994
172,Sales,Female,Baroda,58000
189,IT,Male,Surat,58078
9,Purchase,Male,Surat,59360
140,Sales,Male,Ahmedabad,59433
201,Sales,Female,Surat,59493
148,Marketing,Female,Mumbai,59744
111,Purchase,Female,Chhenai,59938
202,IT,Male,Chhenai,59948
298,Sales,Male,Baroda,59972
55,IT,Male,Ahmedabad,60116
245,HR,Female,Ahmedabad,60369
12,Marketing,Female,Surat,60816
136,HR,Male,Mumbai,61067
276,Finance,Female,Baroda,61500
229,HR,Male,Baroda,61630
86,Marketing,Female,Surat,61862
155,IT,Female,Surat,62430
179,Marketing,Female,Chhenai,62737
47,Sales,Female,Surat,62990
236,Purchase,Female,Baroda,63222
240,HR,Male,Ahmedabad,63267
188,Sales,Female,Surat,63362
184,Sales,Male,Ahmedabad,63549
217,Finance,Female,Baroda,65131
204,Sales,Female,Ahmedabad,65190
280,Sales,Male,Surat,65527
76,Marketing,Male,Baroda,65802
247,Marketing,Female,Mumbai,66156
65,Finance,Male,Surat,66499
164,IT,Male,Surat,66540
37,Marketing,Female,Ahmedabad,66577
91,HR,Female,Mumbai,66868
299,HR,Female,Surat,67090
2,Sales,Male,Mumbai,67294
146,Marketing,Female,Ahmedabad,67311
219,HR,Female,Chhenai,68080
