Date,Store,Product,Sales,Profit
1/1/2026,Store A,Widget X,202,68
1/1/2026,Store A,Gadget Y,370,118
1/1/2026,Store B,Widget X,800,223
1/1/2026,Store B,Gadget Y,221,32
1/1/2026,Store C,Widget X,430,102
1/1/2026,Store C,Gadget Y,472,132
1/2/2026,Store A,Widget X,763,225
1/2/2026,Store A,Gadget Y,408,159
1/2/2026,Store B,Widget X,591,225
1/2/2026,Store B,Gadget Y,485,74
1/2/2026,Store C,Widget X,376,107
1/2/2026,Store C,Gadget Y,413,106
1/3/2026,Store A,Widget X,847,90
1/3/2026,Store A,Gadget Y,574,162
1/3/2026,Store B,Widget X,781,89
1/3/2026,Store B,Gadget Y,799,167
1/3/2026,Store C,Widget X,289,36
1/3/2026,Store C,Gadget Y,662,142
1/4/2026,Store A,Widget X,343,95
1/4/2026,Store A,Gadget Y,230,82
1/4/2026,Store B,Widget X,746,112
1/4/2026,Store B,Gadget Y,266,27
1/4/2026,Store C,Widget X,700,272
1/4/2026,Store C,Gadget Y,341,73
1/5/2026,Store A,Widget X,445,57
1/5/2026,Store A,Gadget Y,439,75
1/5/2026,Store B,Widget X,554,156
1/5/2026,Store B,Gadget Y,199,28
1/5/2026,Store C,Widget X,321,98
1/5/2026,Store C,Gadget Y,624,204
1/6/2026,Store A,Widget X,115,22
1/6/2026,Store A,Gadget Y,268,69
1/6/2026,Store B,Widget X,759,207
1/6/2026,Store B,Gadget Y,807,117
1/6/2026,Store C,Widget X,260,39
1/6/2026,Store C,Gadget Y,842,328
1/7/2026,Store A,Widget X,792,204
1/7/2026,Store A,Gadget Y,872,305
1/7/2026,Store B,Widget X,314,92
1/7/2026,Store B,Gadget Y,538,58
1/7/2026,Store C,Widget X,364,57
1/7/2026,Store C,Gadget Y,702,112
1/8/2026,Store A,Widget X,221,69
1/8/2026,Store A,Gadget Y,543,90
1/8/2026,Store B,Widget X,605,108
1/8/2026,Store B,Gadget Y,376,64
1/8/2026,Store C,Widget X,517,86
1/8/2026,Store C,Gadget Y,859,335
1/9/2026,Store A,Widget X,455,59
1/9/2026,Store A,Gadget Y,808,312
1/9/2026,Store B,Widget X,551,192
1/9/2026,Store B,Gadget Y,930,172
1/9/2026,Store C,Widget X,406,86
1/9/2026,Store C,Gadget Y,252,35
1/10/2026,Store A,Widget X,924,204
1/10/2026,Store A,Gadget Y,470,88
1/10/2026,Store B,Widget X,806,310
1/10/2026,Store B,Gadget Y,496,171
1/10/2026,Store C,Widget X,504,56
1/10/2026,Store C,Gadget Y,741,202
