,EmpID,Department,Gender,City,Salary,Experience
0,E0,Purchase,Female,Ahmedabad,37507,14
1,E1,HR,Male,Ahmedabad,54861,19
2,E2,Sales,Female,Surat,23218,17
3,E3,Sales,Female,Chhenai,21963,2
4,E4,IT,Male,Ahmedabad,26232,12
5,E5,IT,Female,Chhenai,98888,16
6,E6,Marketing,Female,Chhenai,92127,12
7,E7,Finance,Female,Mumbai,97318,15
8,E8,Marketing,Female,Baroda,83868,1
9,E9,Purchase,Female,Chhenai,69415,11
10,E10,Sales,Male,Ahmedabad,24374,13
11,E11,Finance,Male,Surat,52360,10
12,E12,Marketing,Male,Mumbai,81016,5
13,E13,IT,Male,Ahmedabad,45824,1
14,E14,Finance,Male,Mumbai,27751,3
15,E15,Purchase,Male,Baroda,69052,16
16,E16,Sales,Male,Baroda,95749,15
17,E17,Purchase,Male,Mumbai,55432,13
18,E18,Marketing,Female,Ahmedabad,60790,13
19,E19,HR,Male,Mumbai,52698,14
20,E20,HR,Female,Chhenai,37004,2
21,E21,Sales,Female,Ahmedabad,28726,5
22,E22,HR,Male,Surat,58518,9
23,E23,Purchase,Male,Mumbai,75627,7
24,E24,HR,Male,Baroda,35827,4
25,E25,HR,Female,Baroda,62975,16
26,E26,Marketing,Female,Baroda,26599,14
27,E27,IT,Female,Chhenai,42146,10
28,E28,Marketing,Male,Surat,77372,8
29,E29,Marketing,Female,Baroda,98233,14
30,E30,Sales,Male,Surat,26655,13
31,E31,Marketing,Female,Surat,66207,3
32,E32,Sales,Female,Baroda,48833,8
33,E33,IT,Male,Baroda,88610,16
34,E34,Purchase,Male,Mumbai,45817,1
35,E35,Marketing,Female,Ahmedabad,51052,9
36,E36,Marketing,Female,Chhenai,82546,5
37,E37,Marketing,Female,Chhenai,46850,7
38,E38,IT,Female,Chhenai,30273,17
39,E39,Sales,Female,Mumbai,40934,18
40,E40,HR,Female,Ahmedabad,94711,18
41,E41,HR,Female,Chhenai,44583,11
42,E42,Purchase,Male,Mumbai,60988,14
43,E43,Purchase,Female,Chhenai,23236,13
44,E44,IT,Female,Baroda,84222,15
45,E45,Sales,Male,Surat,24226,17
46,E46,Finance,Female,Surat,32692,3
47,E47,Sales,Male,Ahmedabad,68734,19
48,E48,Marketing,Female,Surat,92950,17
49,E49,Purchase,Female,Mumbai,38121,3
