Order_ID,Order_Date,Region,Salesperson,Product,Category,Quantity,Unit_Price,Discount,Sales
1001,2024-01-05,North,Amit,Laptop,Electronics,2,55000,2000,108000
1002,2024-01-10,South,Priya,Mouse,Accessories,10,500,,5000
1003,2024-02-15,East,Rahul,Keyboard,Accessories,5,1200,100,5900
1004,2024-02-20,West,Neha,Monitor,Electronics,3,15000,500,44500
1005,2024-03-02,North,Amit,Printer,Electronics,2,9000,,18000
1006,2024-03-11,South,Priya,Laptop,Electronics,1,60000,3000,57000
1007,2024-04-07,East,Rahul,Mouse,Accessories,15,450,,6750
1008,2024-04-19,West,Neha,Keyboard,Accessories,8,1100,50,8750
1009,2024-05-03,North,Amit,Monitor,Electronics,2,14500,1000,28000
1010,2024-05-18,South,Priya,Printer,Electronics,1,9500,,9500
1011,2024-06-01,East,Rahul,Laptop,Electronics,2,58000,2000,114000
1012,2024-06-12,West,Neha,Mouse,Accessories,20,480,100,9500
1013,2024-07-08,North,Amit,Keyboard,Accessories,7,1250,,8750
1014,2024-07-20,South,Priya,Monitor,Electronics,4,14800,500,58700
1015,2024-08-05,East,Rahul,Printer,Electronics,3,9200,300,27300
1016,2024-08-16,West,Neha,Laptop,Electronics,1,61000,,61000
1017,2024-09-09,North,Amit,Mouse,Accessories,12,520,50,6190
1018,2024-09-25,South,Priya,Keyboard,Accessories,6,1180,,7080
1019,2024-10-04,East,Rahul,Monitor,Electronics,2,15200,700,29700
1020,2024-10-22,West,Neha,Printer,Electronics,2,9100,,18200
1021,2024-11-06,North,Amit,Laptop,Electronics,3,56000,2500,165500
1022,2024-11-15,South,Priya,Mouse,Accessories,18,490,,8820
1023,2024-12-02,East,Rahul,Keyboard,Accessories,9,1220,120,10860
1024,2024-12-18,West,Neha,Monitor,Electronics,1,15500,,15500
