Date , Region , Product , Sales , Quantity , Status
2024-01-01,North,Laptop,1200,5,Completed
2024-01-02,South,Phone,850,3,Completed
2024-01-03,East,Tablet,,2,Pending
2024-01-04,West,Laptop,1350,4,Completed
2024-01-05,North,Phone,900,3,Completed
2024-01-06,South,Tablet,700,,Returned
2024-01-07,East,Laptop,1500,6,Completed
2024-01-08,West,Phone,950,4,Completed
2024-01-09,North,Tablet,780,2,Pending
2024-01-10,South,Laptop,1600,5,Completed
2024-01-11,East,Phone,980,4,Completed
2024-01-12,West,Tablet,820,3,Returned
2024-01-13,North,Laptop,1700,6,Completed
2024-01-14,South,Phone,1020,4,Completed
2024-01-15,East,Tablet,860,3,Pending
2024-01-16,West,Laptop,1750,7,Completed
2024-01-17,North,Phone,,5,Completed
2024-01-18,South,Tablet,910,3,Completed
2024-01-19,East,Laptop,1820,7,Returned
2024-01-20,West,Phone,1080,4,Completed
