sale_id,employee_id,sale_date,product,region,sales_amount
S001,E001,2026-01-01,Laptop,North,4200
S002,E002,2026-01-01,Monitor,West,2800
S003,E005,2026-01-02,Laptop,South,5100
S004,E009,2026-01-02,Keyboard,East,1600
S005,E001,2026-01-03,Monitor,North,3100
S006,E011,2026-01-03,Laptop,West,6200
S007,E002,2026-01-04,Keyboard,West,1900
S008,E005,2026-01-04,Monitor,South,3500
S009,E009,2026-01-05,Laptop,East,4700
S010,E001,2026-01-06,Keyboard,North,2100
S011,E011,2026-01-06,Monitor,West,3300
S012,E002,2026-01-07,Laptop,West,5400
S013,E005,2026-01-08,Keyboard,South,2300
S014,E009,2026-01-08,Monitor,East,2900
S015,E001,2026-01-09,Laptop,North,4800
S016,E011,2026-01-10,Keyboard,West,2500
S017,E002,2026-01-10,Monitor,West,
S018,E005,2026-01-11,Laptop,South,5700
S019,E009,2026-01-12,Keyboard,East,1800
S020,E001,2026-01-13,Monitor,North,3200
S021,E011,2026-01-14,Laptop,West,6800
S022,E002,2026-01-15,Keyboard,West,2200
S023,E005,2026-01-16,Monitor,South,3900
S024,E009,2026-01-17,Laptop,East,5200
S025,E001,2026-01-18,Keyboard,North,2000
S026,E011,2026-01-19,Monitor,West,3600
S027,E002,2026-01-20,Laptop,West,5900
S028,E005,2026-01-21,Keyboard,South,2400
S029,E009,2026-01-22,Monitor,East,3100
S030,E011,2026-01-23,Laptop,West,7100
S030,E011,2026-01-23,Laptop,West,7100
S031,E001,2026-01-24,Monitor,North,3400
S032,E002,2026-01-25,Keyboard,West,2100
S033,E005,2026-01-26,Laptop,South,6100
S034,E009,2026-01-27,Monitor,East,3000
S035,E011,2026-01-28,Keyboard,West,2700
S036,E001,2026-01-29,Laptop,North,5000
S037,E002,2026-01-30,Monitor,West,3700
S038,E005,2026-01-31,Keyboard,South,2600
