target_id,employee_id,target_date,monthly_target
T001,E001,2026-01-01,30000
T002,E002,2026-01-01,32000
T003,E005,2026-01-01,35000
T004,E009,2026-01-01,28000
T005,E011,2026-01-01,40000
T006,E001,2026-02-01,31000
T007,E002,2026-02-01,33000
T008,E005,2026-02-01,36000
T009,E009,2026-02-01,29000
T010,E011,2026-02-01,41000
T011,E001,2026-03-01,32000
T012,E002,2026-03-01,34000
T013,E005,2026-03-01,37000
T014,E009,2026-03-01,30000
T015,E011,2026-03-01,42000
T015,E011,2026-03-01,42000
T016,E001,2026-04-01,33000
T017,E002,2026-04-01,35000
T018,E005,2026-04-01,38000
T019,E009,2026-04-01,
T020,E011,2026-04-01,43000
