order_id,order_date,customer_id,product_id,quantity
1001,2024-01-05,C001,P101,2
1002,2024-01-08,C002,P102,1
1003,2024-01-15,C003,P103,3
1004,2024-01-20,C001,P104,2
1005,2024-02-02,C004,P101,1
1006,2024-02-08,C005,P102,4
1007,2024-02-12,C006,P105,2
1008,2024-02-18,C002,P103,2
1009,2024-03-01,C003,P101,5
1010,2024-03-10,C001,P102,1
1011,2024-03-18,C004,P104,3
1012,2024-03-28,C005,P105,2
1013,2024-04-05,C006,P103,1
1014,2024-04-12,C002,P101,2
1015,2024-04-18,C003,P102,3
1016,2024-04-22,C001,P105,1
1017,2024-05-03,C004,P103,2
1018,2024-05-10,C005,P104,1
1019,2024-05-15,C006,P101,4
1020,2024-05-25,C002,P105,2
1020,2024-05-25,C002,P105,2
