Employee ID,Date,Sales
E001,2026-01-05,120000
E001,2026-01-15,95000
E001,2026-02-10,135000
E002,2026-01-08,175000
E002,2026-02-12,190000
E003,2026-01-11,145000
E003,2026-02-18,160000
E004,2026-01-20,85000
E004,2026-02-15,92000
E005,2026-01-07,110000
E005,2026-02-21,125000
E006,2026-01-13,210000
E006,2026-02-17,225000
E007,2026-01-09,155000
E007,2026-02-11,170000
E008,2026-01-22,105000
E008,2026-02-19,118000
E009,2026-01-17,78000
E009,2026-02-14,88000
E010,2026-01-06,165000
E010,2026-02-16,
E003,2026-01-11,145000
