Employee_ID,Month,Working_Days,Present_Days,Leave_Days
EMP001,January,22,21,1
EMP002,January,22,,2
EMP003,January,22,20,2
EMP004,January,22,18,
EMP005,January,22,22,0
EMP006,January,22,19,3
EMP007,January,22,,1
EMP001,January,22,21,1
EMP008,January,22,22,0
EMP009,January,22,20,
EMP010,January,22,21,1
EMP011,January,22,17,5
EMP012,January,22,,0
EMP013,January,22,19,3
EMP014,January,22,20,2
EMP015,January,22,21,1
EMP016,January,22,18,
EMP017,January,22,22,0
EMP018,January,22,19,3
EMP019,January,22,,1
EMP020,January,22,21,1
EMP021,January,22,20,2
EMP022,January,22,22,0
EMP023,January,22,18,4
EMP024,January,22,21,
EMP025,January,22,19,3
EMP026,January,22,,2
EMP027,January,22,21,1
EMP028,January,22,22,0
EMP029,January,22,20,2
EMP030,January,22,17,
EMP009,January,22,20,2
EMP031,January,22,21,1
EMP032,January,22,,3
EMP033,January,22,19,3
EMP034,January,22,22,0
EMP035,January,22,20,2
EMP036,January,22,18,
EMP037,January,22,21,1
EMP038,January,22,,0
EMP039,January,22,19,3
EMP040,January,22,21,1
EMP041,January,22,20,2
EMP042,January,22,22,0
EMP043,January,22,18,4
EMP044,January,22,21,
EMP045,January,22,19,3
EMP046,January,22,,2
EMP047,January,22,21,1
EMP048,January,22,22,0
EMP049,January,22,20,2
EMP050,January,22,17,5
EMP051,January,22,21,1
EMP052,January,22,,3
EMP053,January,22,19,3
EMP054,January,22,22,0
EMP055,January,22,20,2
EMP056,January,22,18,
EMP057,January,22,21,1
EMP058,January,22,,0
EMP059,January,22,19,3
EMP060,January,22,21,1
EMP061,January,22,20,2
EMP062,January,22,22,0
EMP063,January,22,18,4
EMP064,January,22,21,
EMP065,January,22,19,3
EMP066,January,22,,2
EMP067,January,22,21,1
EMP068,January,22,22,0
EMP069,January,22,20,2
EMP070,January,22,17,5
EMP071,January,22,21,1
EMP072,January,22,,3
EMP073,January,22,19,3
EMP074,January,22,22,0
EMP075,January,22,20,2
EMP076,January,22,18,
EMP077,January,22,21,1
EMP078,January,22,,0
EMP079,January,22,19,3
EMP080,January,22,21,1
EMP081,January,22,20,2
EMP082,January,22,22,0
EMP083,January,22,18,4
EMP084,January,22,21,
EMP085,January,22,19,3
EMP086,January,22,,2
EMP087,January,22,21,1
EMP088,January,22,22,0
EMP089,January,22,20,2
EMP090,January,22,17,5
EMP091,January,22,21,1
EMP092,January,22,,3
EMP093,January,22,19,3
EMP094,January,22,22,0
EMP095,January,22,20,2
EMP096,January,22,18,
EMP097,January,22,21,1
EMP098,January,22,,0
EMP099,January,22,19,3
EMP100,January,22,21,1
