Employee_ID,Rating,Projects,Bonus
EMP001,4.2,3,5000
EMP002,,5,7000
EMP003,3.8,  2  ,3000
EMP004,4.5,4,
EMP005,4.0,  6  ,8000
EMP006,,3,4000
EMP007,4.7,5,9000
EMP001,4.2,3,5000
EMP008,3.9,  4  ,
EMP009,4.6,5,7500
EMP010,,2,2500
EMP011,3.5,  3  ,3500
EMP012,4.9,6,10000
EMP013,4.1,  4  ,4500
EMP014,,3,
EMP015,4.3,5,6500
EMP016,3.7,  2  ,2000
EMP017,4.0,4,5000
EMP018,,3,4000
EMP019,4.8,  6  ,9500
EMP020,3.6,2,3000
EMP021,4.2,  4  ,
EMP022,,5,8000
EMP023,4.4,3,6000
EMP024,3.9,  2  ,2500
EMP025,3.5,4,2000
EMP026,,6,10500
EMP027,4.1,  3  ,4000
EMP028,4.3,5,7000
EMP029,3.8,  2  ,
EMP030,4.7,6,9000
EMP012,4.9,6,10000
EMP031,,4,5500
EMP032,3.6,  3  ,3000
EMP033,4.0,4,4500
EMP034,4.5,  5  ,8500
EMP035,,3,3500
EMP036,3.7,2,
EMP037,4.2,  4  ,5000
EMP038,4.6,5,7500
EMP039,,3,4000
EMP040,3.9,  4  ,4500
EMP041,4.1,2,3000
EMP042,4.8,  6  ,10000
EMP043,,4,5000
EMP044,3.8,3,3500
EMP045,4.0,  5  ,
EMP046,4.4,4,6500
EMP047,,2,2000
EMP048,3.5,3,1500
EMP049,4.2,  5  ,6000
EMP050,4.7,6,9500
EMP051,,4,5500
EMP052,3.9,  3  ,4000
EMP053,3.6,2,
EMP054,4.5,5,8000
EMP055,,3,3500
EMP056,4.1,  4  ,5000
EMP057,3.8,2,2500
EMP058,4.9,  6  ,11000
EMP059,,4,6000
EMP060,3.7,3,2000
EMP061,4.0,  5  ,
EMP062,4.4,4,7000
EMP063,,2,1500
EMP064,3.5,3,2500
EMP065,4.2,  5  ,6500
EMP066,4.6,4,7500
EMP067,,3,3500
EMP068,4.0,  4  ,5000
EMP069,3.8,2,
EMP070,4.8,6,10000
EMP071,,4,5000
EMP072,3.9,3,4000
EMP073,4.1,  5  ,6000
EMP074,4.5,4,8000
EMP075,,2,2500
EMP076,3.6,  3  ,3000
EMP077,4.3,5,7000
EMP078,,3,1500
EMP079,4.0,  4  ,4500
EMP080,4.2,5,6500
EMP081,,3,
EMP082,3.7,2,2000
EMP083,4.1,  4  ,4000
EMP084,4.6,5,8000
EMP085,,3,4500
EMP086,3.9,  4  ,5000
EMP087,3.5,2,1500
EMP088,4.8,  6  ,10500
EMP089,,4,5500
EMP090,4.2,3,4000
EMP091,3.8,  2  ,
EMP092,4.4,5,7500
EMP093,,3,3500
EMP094,4.0,4,5000
EMP095,3.6,  2  ,2000
EMP096,4.7,6,9500
EMP097,,4,6000
EMP098,4.1,3,4000
EMP099,3.9,  5  ,
EMP100,4.5,4,8500
