OrderID,OrderTime,EmployeeID,CustomerID,ProductID,Quantity,Discount%,SalesAmount
1001,2026-01-02 09:15,101,201,301,1,5.0,47500
1002,2026-01-03 10:20,102,202,302,3,0.0,2100
1003,2026-01-05 11:10,103,203,303,2,,2400
1004,2026-01-07 12:00,104,204,304,1,10.0,10800
1005,2026-01-10 14:20,105,205,305,4,5.0,9500
1006,2026-01-12 15:10,106,206,306,1,0.0,15000
1007,2026-01-15 16:30,107,207,301,2,8.0,92000
1008,2026-01-18 10:00,108,208,302,5,,3500
1009,2026-01-20 13:45,101,209,304,1,10.0,10800
1010,2026-01-25 17:00,102,201,301,1,5.0,47500
1010,2026-01-25 17:00,102,201,301,1,5.0,47500
