SupplierID,Supplier,City
S1,Tech World,New York
S2,Digital Hub,Chicago
S3,Samsung Supply,Seoul
S4,Gaming Zone,Dallas
S5,Audio Plus,Los Angeles
S6,Canon Distributors,Tokyo
S7,Anker Supply,Shenzhen
S8,LG Electronics,Seoul
S9,Home Essentials,London
S10,Furniture House,Berlin
S11,HP Supplies,Houston
S12,Fitbit Store,San Francisco
S13,Network World,Singapore
S14,Kitchen Depot,Mumbai
S15,Dyson Supply,Manchester
S16,Milton Traders,Delhi
S17,Wildcraft India,Bengaluru
S18,Keychron Global,Hong Kong
S19,Spigen Supply,Seoul
S20,Blue Audio,Austin
S21,Sony Distribution,Tokyo
S22,DJI Global,Shenzhen
S23,Epson Supply,Nagano
S24,Intel Supply,Santa Clara
S25,Wacom Distribution,Osaka
S26,Yale Security,Boston
S27,Google Devices,Mountain View
S28,Meta Devices,Menlo Park
S29,Netgear Supply,San Jose
S30,Amazon Devices,Seattle
S31,Manfrotto Supply,Milan
